evolution$generation,evolution$evaluated,goodShepherdPercentage,proportionBigHerders,proportionMediumHerders,interfaceNumberOfCampI,objective$MSTSheepNEC,objective$MSTCattleNEC,objective$MSTTrees,evolution$samples,evolution$generated,meanGrass,meanFruitsConsumedSheep,sumMediumHerder,meanLeavesConsumedCattle,sumSmallHerder,MSTCattleNEC,meanSheepsNEC,meanCattlesLiveWeight,totalTreesYoung,totalFoyers,cattlesWeightGain,meanLeavesConsumedSheep,meanFruitsConsumedCattle,sumLargeHerder,MSTSheepNEC,meanCattlesNEC,totalCattles,totalTreesOldes,totalSheeps,meanSheepsLiveWeight,MSTTrees,totalGrass,sheepsWeightGain,totalTrees
3020,3020,0.0,4.699159252189546,44.357858790859105,130.0,0.03589657754481787,0.1631131072685081,0.30054794520547945,2,2454,"[0.1655364397952603,0.17191512919637178]","[0.0,0.0]","[413.0,386.0]","[0.0,0.0]","[476.0,483.0]","[0.16334522603473842,0.1631131072685081]","[3.228869565217347,3.228869565217347]","[248.59999999999974,248.59999999999982]","[364.531190926276,327.0661625708885]","[933.0,915.0]","[-0.7000000000000035,-0.7000000000000027]","[0.0,0.0]","[0.0,0.0]","[44.0,46.0]","[0.03589657754481787,0.0358972977019238]","[3.860191082802527,3.860191082802529]","[8958.0,8686.0]","[6758.922495274102,6689.570888468809]","[13467.0,13159.0]","[39.775999999999954,39.775999999999954]","[0.30054794520547945,0.4005479452054794]","[87.56877665169272,90.94310334488061]","[-0.11199999999999831,-0.11199999999999838]","[3768307.0,3711801.0]"
3020,3020,98.65290475903812,15.56748743954352,26.36229645549191,1.0,0.7630479452054795,0.843904109589041,0.5005479452054794,2,2846,"[2933.557160627042,2994.666317148981]","[0.0,0.0]","[2.0,1.0]","[0.0,0.0]","[5.0,1.0]","[0.843904109589041,1.0]","[2.2063340780509866,5.0]","[198.82115482119454,255.2353884161492]","[2975.4574669187145,2993.587901701323]","[8.0,2.0]","[0.2259248642893053,0.0]","[0.0,0.0]","[0.0,0.0]","[1.0,0.0]","[0.7630479452054795,1.0]","[2.6753079114458593,4.0010698177526365]","[82.0,16.0]","[10632.465028355387,10693.879017013232]","[130.0,15.0]","[36.46669905560527,64.29142598098893]","[0.5005479452054794,0.5005479452054794]","[1551851.737971706,1584178.4817718114]","[0.07411951262770344,0.0]","[7198591.0,7240670.0]"
3020,3020,82.93986665376305,0.5777163642423506,0.0,1.0,0.8425570776255709,0.7581735159817352,0.5005479452054794,1,2857,"[2971.2797383020043]","[0.0]","[0.0]","[0.0]","[6.0]","[0.7581735159817352]","[3.474095506144593]","[181.70975906197913]","[3001.79584120983]","[6.0]","[0.0]","[0.0]","[0.0]","[0.0]","[0.8425570776255709]","[2.3804560857371473]","[42.0]","[10694.166351606806]","[52.0]","[42.42770160030913]","[0.5005479452054794]","[1571806.9815617616]","[0.0]","[7245164.0]"
3020,3020,98.56056071422273,20.59341219651453,25.885565669430495,1.0,0.6802739726027397,0.7304246575342466,0.5005479452054794,13,526,"[2998.6579217818844,2990.446215061663,2906.281404432881,2970.691535845807,2905.8659708647097,2953.0281963583616,2875.339609485555,2956.291622058426,2936.496041025821,2886.6812435496777,2895.098800308108,2981.4772781559063,2929.0108659034463]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,6.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[2.0,3.0,3.0,2.0,5.0,2.0,4.0,3.0,9.0,4.0,6.0,2.0,3.0]","[1.0,0.9464840182648402,0.9456164383561644,0.5804383561643836,0.7565753424657534,0.9722602739726027,0.718904109589041,0.9507397260273972,0.8181917808219178,0.5815616438356164,0.7684931506849315,0.9912328767123287,0.741945205479452]","[5.0,4.745942916438552,4.324452782194637,2.5107204111525183,2.1974272052551416,4.543906741207799,1.7533242670211966,2.8599724284372323,2.245985491562841,2.3198520025872034,2.50080079186686,2.5550036969136527,2.6446771250420715]","[264.8247116212619,229.2489640286872,191.82690674415625,211.92492991324175,215.04971889135984,238.64705419210225,184.75838379488107,193.2048658055135,183.480549775986,185.16333914668112,174.6878751372523,222.33391659382053,189.4324714166625]","[3008.5595463137997,3031.085066162571,2841.850661625709,3016.9621928166353,2866.281663516068,2893.6294896030245,2967.7693761814744,2926.971644612476,3003.8468809073725,2961.8487712665406,2966.7353497164463,3016.0756143667295,2974.5652173913045]","[2.0,3.0,6.0,5.0,10.0,4.0,10.0,5.0,10.0,10.0,11.0,3.0,10.0]","[0.0,0.0,0.0,-0.13999999999999999,0.06360225577172329,0.16065705269950492,0.191162678547763,0.25328026579870483,0.0,0.0,0.5215033590443346,0.0,0.30555149382974334]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,1.0]","[1.0,0.9483105022831051,0.9736529680365297,0.7828493150684932,0.7700547945205479,0.9795890410958904,0.6528767123287671,0.9244383561643835,0.7970410958904109,0.5260821917808219,0.7076712328767123,0.9242922374429223,0.6482191780821918]","[4.2017829756029785,3.4551680101860662,2.7615718778336418,3.07052061686834,2.998724987493009,2.9674394646541886,2.583366725057599,2.6411209559166924,2.5113719237958914,2.419024285029683,2.2587593838374436,3.3251125477158694,3.020373739405205]","[11.0,17.0,109.0,33.0,106.0,52.0,159.0,51.0,71.0,165.0,114.0,26.0,122.0]","[10708.91493383743,10732.393194706994,10527.563327032136,10712.35349716446,10489.270321361058,10535.70888468809,10601.996219281664,10605.916824196598,10682.136105860114,10603.448015122873,10602.695652173914,10704.294896030246,10625.901701323251]","[15.0,36.0,134.0,68.0,211.0,95.0,239.0,62.0,100.0,266.0,189.0,47.0,186.0]","[66.45682975861293,51.880670428736686,51.03239445546518,34.75339620727023,34.876478076333555,56.76969869520328,30.29061239025672,37.967330293092786,34.47082011124959,36.20958667757453,32.96012828155305,35.340142939649425,36.46702886787796]","[0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794]","[1586290.0406226178,1581946.0477676182,1537422.862944994,1571495.8224624316,1537203.0985874326,1562151.9158735727,1521054.6534178571,1563878.2680689082,1553406.4057026557,1527054.3778377792,1531507.2653629868,1577201.4801444751,1549446.7480629236]","[0.0,0.0,0.0,-0.022399999999999996,0.0,0.025704346037143264,0.010153350370135044,0.0,0.0,-0.011199999999999998,0.08102446658398564,0.0,0.07007372936354314]","[7256544.0,7280880.0,7072420.0,7262808.0,7065087.0,7104120.0,7178406.0,7158898.0,7239885.0,7176042.0,7178229.0,7258076.0,7194647.0]"
3020,3020,4.090226723121271,11.95501078298032,30.80652310136196,23.01081938003068,0.4743397667766544,0.3853049738816624,0.5005479452054794,12,38,"[2243.0001135515545,2161.654669428229,2082.601351909772,2202.943127374895,2040.761968574305,2213.4156154666,2367.435664813776,1751.7682673089741,2070.693413249138,2217.6081055929035,2218.038293612762,2031.4185871852608]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[53.0,45.0,57.0,52.0,40.0,64.0,53.0,53.0,60.0,67.0,55.0,52.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[94.0,92.0,74.0,99.0,111.0,89.0,85.0,97.0,70.0,90.0,88.0,91.0]","[0.3859692818596928,0.38824345413559913,0.3921699677166042,0.3913424657534247,0.4060979411040932,0.38508353788898564,0.38379055515501076,0.398054011741683,0.3912240388864339,0.38497820672478206,0.38992597634646475,0.3924336208354473]","[3.247354082794268,3.2474682177263086,3.2290456248667856,3.224914692470554,3.2040599387999635,3.248315334403187,3.2032660634372414,3.201924313482189,3.2473771862296537,3.2130688137573844,3.260978989093542,3.271089203363403]","[209.03526704152804,193.9586711451181,201.18916221206473,193.1833528257983,186.55342932556385,211.75135310369225,223.02750165838887,175.09626586919012,192.07733077628103,214.19711790222746,204.6322147194355,181.16775735985652]","[2380.663516068053,2351.858223062382,2279.665406427221,2404.5198487712664,2352.31190926276,2301.812854442344,2351.336483931947,2204.7013232514178,2331.45179584121,2260.381852551985,2348.149338374291,2372.2608695652175]","[165.0,158.0,157.0,165.0,167.0,173.0,152.0,175.0,155.0,176.0,161.0,162.0]","[0.21721646869892586,0.15132071752772291,0.12369281902809251,0.20180458829687056,0.13546650989302048,0.1066559209268852,0.0018024871717354479,0.08749901509003027,0.15385790817859135,0.20006679132883134,0.1791798325633899,0.17660855281153265]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[18.0,21.0,26.0,14.0,16.0,20.0,14.0,25.0,25.0,19.0,18.0,19.0]","[0.4727056870070569,0.5057724986994971,0.5128016752464881,0.47971772519717726,0.4752079402838159,0.5229946947501781,0.5067357606344628,0.4453260273972603,0.47405037560760055,0.523376400996264,0.5003063047732493,0.4966835785557247]","[3.160811171174373,2.657179597349087,3.0147885433891912,2.716362881681259,2.433272721917422,3.098477051910928,3.197433710365773,2.3302926649607634,2.6183835204000423,3.0768879626385273,2.865621743316258,2.478886458817889]","[1867.0,1663.0,1972.0,1687.0,1719.0,1909.0,1621.0,2105.0,1818.0,1887.0,1670.0,1670.0]","[9668.170132325142,9622.047258979206,9511.168241965974,9707.374291115311,9638.270321361058,9526.686200378072,9678.523629489602,9377.400756143667,9608.608695652174,9413.279773156899,9593.345935727788,9613.948960302458]","[2639.0,2794.0,2960.0,2476.0,2545.0,2781.0,2427.0,3046.0,2939.0,2994.0,2821.0,2801.0]","[40.10901266377674,39.85116584498437,39.68953155467723,39.81371569494929,39.66226022122661,39.85488321735162,39.516203508028696,39.625085859481445,39.94218852564856,39.780484283719666,39.958762035178545,39.98244806897356]","[0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794]","[1186547.0600687726,1143515.3201275337,1101696.1151602701,1165356.914381319,1079563.0813758073,1170896.8605818315,1252373.466686488,926685.4134064475,1095396.815608793,1173114.6878586453,1173342.2573211507,1074620.4326210031]","[0.022519782970688008,0.025454018209954618,0.012517901856563473,0.025870527404336634,0.030803253508724853,0.023170467309237983,0.0022935427633114596,0.01193268544013672,0.025217208025312375,0.02005968356036163,0.03806980373993046,0.02607410576755605]","[6373833.0,6334196.0,6237351.0,6407192.0,6343018.0,6257276.0,6363796.0,6126932.0,6316292.0,6175367.0,6317051.0,6340705.0]"
3020,3020,99.31256837577641,22.0953033128496,44.04713150965151,1.0,0.48541095890410957,0.5294748858447489,0.5005479452054794,1,2468,"[2930.6081629799014]","[0.0]","[5.0]","[0.0]","[4.0]","[0.5294748858447489]","[3.2580869565217387]","[208.34532754440457]","[2944.4253308128546]","[12.0]","[0.0]","[0.0]","[0.0]","[3.0]","[0.48541095890410957]","[2.8437306507715494]","[181.0]","[10525.60302457467]","[251.0]","[39.94779282868526]","[0.5005479452054794]","[1550291.7182163699]","[0.0]","[7125645.0]"
3020,3020,97.42242324297005,32.32699145605772,6.263671914016902,26.12918535758724,0.24613455493239406,0.2989548710103609,0.5005479452054794,13,46,"[887.5275574860183,1897.7325930799427,1709.4169285844557,1601.9673511115773,828.6692568221051,0.12773872986847232,0.13363586618745601,1771.8747624789914,1026.0576068311952,1144.414404326234,812.635655874098,824.8465308351226,1198.8026988768565]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[9.0,12.0,14.0,14.0,14.0,11.0,10.0,14.0,9.0,8.0,8.0,14.0,14.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[123.0,115.0,113.0,108.0,111.0,108.0,109.0,127.0,98.0,102.0,106.0,113.0,117.0]","[0.2997260273972603,0.43641219024165,0.3952650723628202,0.4470217023241496,0.29818371462346155,0.20648297455968687,0.2028797230167093,0.4421409405451207,0.37081631018184735,0.3031732473811442,0.3380664462289403,0.32631382316313823,0.3552579422908773]","[3.2721165885757197,3.222783054218077,3.2101522968982663,3.2320288367806596,3.176536699314787,3.228869565217389,3.2288695652173867,3.0556536666276943,3.190370634550177,3.331694634209515,3.130275822050219,3.25784981491173,3.1865487302331297]","[240.50982714065208,210.79358748710965,230.01334921253311,203.2914728866407,233.51613334274927,248.5999999999999,248.59999999999982,229.00699433205642,215.51906874584046,242.79635733309985,218.12503655576438,237.72823568844325,234.14452301260388]","[1887.0453686200378,1859.4877126654064,2069.82797731569,1920.6275992438564,1919.9565217391305,1895.0964083175804,2010.6313799621928,1894.1228733459357,2002.0510396975426,2051.2684310018903,1749.5406427221171,1789.4026465028355,1905.6843100189035]","[209.0,178.0,177.0,178.0,197.0,175.0,182.0,194.0,171.0,170.0,174.0,176.0,188.0]","[-0.4030580090225928,0.09803040231387915,-0.14985386994651329,0.11186280128708015,-0.532781706147001,-0.700000000000002,-0.700000000000002,0.09938487016572731,-0.19788852479711985,-0.4768076955113181,-0.32183908045977055,-0.430033579934257,-0.28093937362093524]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[77.0,51.0,50.0,56.0,72.0,56.0,63.0,53.0,64.0,60.0,60.0,49.0,57.0]","[0.2645736383299469,0.47299061105125445,0.4036266542837242,0.42264583653994153,0.23597246366733887,0.06357416829745598,0.05538009935270209,0.4587275808501624,0.36985340062484984,0.3478662369057212,0.25629664619744924,0.32122820672478203,0.3342480326435442]","[3.674109533354636,2.9795291850658696,3.4165334486594094,2.8752952088839687,3.562551958411304,3.8601910828025443,3.8601910828025443,3.376452469790224,3.111544728419659,3.6913308117031285,3.18992316962456,3.6358310258312745,3.5319668637324644]","[3383.0,2693.0,2512.0,2748.0,3253.0,2739.0,2973.0,2705.0,2969.0,2737.0,2768.0,2655.0,2939.0]","[8995.76370510397,8921.17202268431,9349.015122873347,9103.523629489602,8987.824196597354,9070.03213610586,9146.85066162571,8977.206049149338,9192.217391304348,9203.340264650284,8894.379962192817,8771.94706994329,9060.820415879018]","[5123.0,3674.0,3625.0,4071.0,4776.0,4081.0,4442.0,4023.0,4264.0,4005.0,4130.0,3659.0,4162.0]","[40.078462900077184,39.56040790866977,39.6929596248924,39.77635031938863,39.354741549475904,39.776,39.776,38.4789307116231,39.376361128936146,40.331646207335275,39.47500749590099,39.85381305359695,39.82303059180463]","[0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794]","[469502.07791010354,1003900.5417392901,904281.555221178,847440.7287380246,438366.03685889335,67.57378810042177,70.69337321316422,937321.7493513863,542784.4740137026,605395.2198885777,429884.2619573978,436343.81481177965,634166.6277058575]","[-0.06277678013440889,0.017229563304122408,-0.01736881165230599,0.017945776907465977,-0.07716522335552414,-0.11199999999999977,-0.11199999999999971,0.01331445418848566,-0.02629182348844195,-0.05912329964784159,-0.0478915707350362,-0.058911529520865695,-0.03844079485707695]","[5757006.0,5702969.0,6040568.0,5831776.0,5770216.0,5800553.0,5902308.0,5750933.0,5921768.0,5953688.0,5630634.0,5586954.0,5801281.0]"
3020,3020,0.0,0.24847369438259492,44.856882977231884,52.7187852665314,0.10266271751203258,0.19106553128470938,0.4005479452054794,3,2111,"[233.20248127624424,267.80523329805317,443.461281005776]","[0.0,0.0,0.0]","[162.0,171.0,161.0]","[0.0,0.0,0.0]","[206.0,208.0,204.0]","[0.19106553128470938,0.19548375528939255,0.210066066962786]","[3.2079924549644425,3.2264945827860605,3.2239323276946665]","[248.675368455236,244.18698503055143,246.231445719153]","[1112.693761814745,1117.773156899811,1136.4593572778829]","[370.0,382.0,367.0]","[-0.6659459459459417,-0.6102094240837661,-0.600817438692095]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[2.0,3.0,2.0]","[0.10266271751203258,0.11419063329269168,0.10908364749356127]","[3.8616395224326894,3.8117017100639763,3.8275050062956995]","[3012.0,3305.0,3010.0]","[8057.514177693762,8004.595463137996,8009.383742911153]","[4717.0,4968.0,4757.0]","[39.6981373776962,39.78371856624044,39.79063717031516]","[0.4005479452054794,0.4005479452054794,0.4005479452054794]","[123364.11259513319,141668.96841467006,234591.01765205566]","[-0.08859508942422194,-0.07410157690100576,-0.08152191092097053]","[4851040.0,4825733.0,4838151.0]"
3020,3020,0.0,0.0,44.91516850598862,52.243374548204976,0.08849780744305173,0.20325103536158012,0.5005479452054794,11,279,"[2263.346223125827,76.29486485094874,2214.9267983491577,1375.5089894950652,1013.5185892658591,237.55078552741048,0.17415556002201946,267.32833644302565,659.1272858142397,1862.1837771471764,248.6207495223552]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[151.0,162.0,176.0,154.0,158.0,174.0,163.0,162.0,144.0,147.0,157.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[175.0,214.0,184.0,225.0,207.0,197.0,181.0,191.0,188.0,202.0,199.0]","[0.3017388015799647,0.20278927426406296,0.2860745814307458,0.24581197816893774,0.2582781009570276,0.20569508547797513,0.20325103536158012,0.19942877100391943,0.23084419871265888,0.3148706676610276,0.2222402647375712]","[3.2557972017121313,3.2372749474608615,3.259140097832522,3.2525942866196877,3.197027088968352,3.2237872384533177,3.228869565217364,3.209230377677981,3.2011490405724876,3.2574360643994678,3.2036076323033478]","[244.31320143469515,248.4287980335307,244.31309135232027,243.94094816242946,227.99965113183947,248.12187883546432,248.60000000000005,246.6330418080346,241.99004050129858,229.5035307481254,243.3861100502546]","[1918.6691871455575,1051.0586011342155,1588.3308128544425,1613.1001890359169,1495.897920604915,1031.1474480151228,844.4555765595463,1143.1814744801513,1159.5576559546314,1707.3251417769377,1006.6370510396976]","[326.0,376.0,360.0,379.0,365.0,371.0,344.0,353.0,332.0,349.0,356.0]","[-0.023619631901840493,-0.583937935434213,0.011349274847080565,-0.32536948764339274,-0.4143173158863183,-0.5943396226415064,-0.6999999999999957,-0.5968838526912154,-0.5460091258568892,0.09521467127029798,-0.6400849799208617]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.14728296495503823,0.06258816671524337,0.14270319634703196,0.16892182021903349,0.22276524676299495,0.09336188753092346,0.0595324944249761,0.08849780744305173,0.20864416570391153,0.1472645915924167,0.12300677235647221]","[3.7369144310320883,3.8577281010679467,3.776897274177764,3.763621283074332,3.405692220521804,3.850681202705225,3.8601910828025705,3.8357747546930967,3.732533267652213,3.4449698628523207,3.748409568649428]","[2666.0,2997.0,2967.0,3203.0,2943.0,3033.0,2804.0,2900.0,2633.0,2877.0,2798.0]","[8706.385633270322,7935.461247637051,8404.38752362949,8570.402646502836,8526.805293005671,7843.0113421550095,7767.090737240075,8100.035916824197,8134.491493383743,8523.18336483932,7889.705103969754]","[4132.0,4773.0,4857.0,4718.0,4549.0,4888.0,4513.0,4572.0,4165.0,4234.0,4588.0]","[39.932626735826695,39.823766420940316,39.95117185090088,39.90963828034259,39.64691312140503,39.77809093445691,39.77600000000002,39.6756253011393,39.60192971651525,39.94162557578891,39.65856667178071]","[0.5005479452054794,0.4005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.4005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794,0.5005479452054794]","[1197310.1520335611,40359.98350615188,1171696.276326705,727644.2554428898,536151.3337216396,125664.36554400017,92.12829125164822,141416.68997836052,348678.33419573295,985095.2181108556,131520.37649732578]","[-0.0034355828220858898,-0.0941159406448029,0.014443772257049188,-0.036504930986171066,-0.05856487094958136,-0.07779014446360694,-0.11199999999999967,-0.08290471250337707,-0.055952382789219865,0.0021790087400231314,-0.08467014260324836]","[5620654.0,4753869.0,5286148.0,5387073.0,5302010.0,4694430.0,4555508.0,4889662.0,4916552.0,5411939.0,4706165.0]"
